joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12
-0.5235,-0.7853,1.5708,-0.7853,1.0471,-0.2617,0.5235,-0.7853,1.5708,0.7853,1.0471,0.261799
-0.516537,-0.776898,1.5603,-0.767819,1.04343,-0.231453,0.514137,-0.79222,1.55456,0.814657,1.05946,0.255686
-0.515762,-0.774024,1.55574,-0.75718,1.04087,-0.214294,0.514468,-0.797689,1.54113,0.827604,1.06494,0.257096
-0.518629,-0.774585,1.55526,-0.751094,1.0394,-0.206639,0.520722,-0.801601,1.52994,0.828881,1.06569,0.263522
-0.523133,-0.776922,1.55738,-0.747726,1.03893,-0.205546,0.529918,-0.803918,1.52054,0.822356,1.06345,0.272951
-0.527757,-0.779763,1.56094,-0.745644,1.03939,-0.208656,0.539779,-0.804665,1.51251,0.811103,1.05957,0.283815
-0.531417,-0.782187,1.56503,-0.743785,1.0407,-0.214135,0.548663,-0.803916,1.50551,0.797484,1.05511,0.294948
-0.533406,-0.783577,1.56903,-0.741406,1.04274,-0.220617,0.55548,-0.801787,1.49928,0.783232,1.05079,0.305531
-0.533345,-0.783576,1.57253,-0.73804,1.04543,-0.227144,0.559616,-0.798429,1.49358,0.769524,1.0471,0.315054
-0.531127,-0.782052,1.57529,-0.733459,1.04865,-0.233108,0.560856,-0.794014,1.48824,0.757072,1.04429,0.323261
-0.526862,-0.779047,1.57724,-0.727624,1.05229,-0.238196,0.559308,-0.788731,1.48313,0.746193,1.04246,0.330107
-0.520824,-0.774739,1.57841,-0.720645,1.05626,-0.242327,0.555321,-0.782774,1.47815,0.736897,1.04155,0.33571
-0.5134,-0.769402,1.57895,-0.712739,1.06045,-0.245597,0.549413,-0.776332,1.47324,0.728966,1.04139,0.340304
-0.505031,-0.763358,1.57903,-0.704183,1.06478,-0.24822,0.542189,-0.769584,1.46834,0.722031,1.04178,0.344192
-0.496163,-0.756937,1.57887,-0.695276,1.06918,-0.250471,0.534265,-0.762687,1.46345,0.715657,1.04246,0.347696
-0.487192,-0.750435,1.57864,-0.686289,1.07359,-0.252626,0.526194,-0.755767,1.45856,0.709422,1.04322,0.351114
-0.478407,-0.744072,1.5785,-0.677429,1.07797,-0.254903,0.518382,-0.748908,1.45366,0.702995,1.04387,0.35467
-0.469951,-0.737957,1.57852,-0.668798,1.0823,-0.257416,0.511029,-0.742152,1.44875,0.696208,1.04432,0.358476
-0.461824,-0.732091,1.57871,-0.660399,1.08659,-0.260172,0.504137,-0.735496,1.44384,0.689057,1.04458,0.362533
-0.453929,-0.726399,1.57901,-0.652163,1.09085,-0.2631,0.497571,-0.72891,1.43893,0.681643,1.04471,0.366769
-0.446127,-0.720778,1.57936,-0.643993,1.09509,-0.266098,0.491135,-0.722351,1.43402,0.674125,1.04477,0.371076
-0.438283,-0.715125,1.57969,-0.635794,1.09934,-0.269066,0.48464,-0.715779,1.42911,0.666653,1.04486,0.375352
-0.430314,-0.709378,1.57996,-0.627508,1.10361,-0.271942,0.477972,-0.70917,1.4242,0.659319,1.04503,0.379532
-0.422207,-0.703527,1.58016,-0.619124,1.1079,-0.274714,0.471109,-0.702519,1.41929,0.652141,1.04528,0.383606
-0.413994,-0.697595,1.58031,-0.610665,1.1122,-0.277408,0.464097,-0.695836,1.41438,0.645083,1.04559,0.387598
-0.405733,-0.691627,1.58043,-0.602171,1.11651,-0.280065,0.457017,-0.689139,1.40948,0.63808,1.04593,0.391553
-0.397483,-0.685668,1.58055,-0.593684,1.12081,-0.282731,0.449952,-0.682446,1.40457,0.631065,1.04626,0.395516
-0.389283,-0.679746,1.5807,-0.585233,1.12511,-0.285433,0.442957,-0.675768,1.39966,0.623995,1.04657,0.399517
-0.381143,-0.673869,1.58088,-0.576823,1.1294,-0.288181,0.436046,-0.669108,1.39475,0.616858,1.04684,0.403565
-0.37305,-0.668029,1.58109,-0.568449,1.13369,-0.290963,0.429202,-0.662461,1.38984,0.609665,1.04708,0.407649
-0.36498,-0.662205,1.5813,-0.560091,1.13797,-0.293764,0.422392,-0.655821,1.38493,0.602444,1.0473,0.411752
-0.356907,-0.656379,1.58152,-0.551733,1.14225,-0.296562,0.415579,-0.649179,1.38002,0.595224,1.04753,0.415853
-0.348813,-0.650538,1.58173,-0.543361,1.14653,-0.299345,0.408737,-0.64253,1.37511,0.588026,1.04777,0.419939
-0.340694,-0.644677,1.58193,-0.534971,1.15082,-0.30211,0.40186,-0.635873,1.3702,0.580857,1.04802,0.424004
-0.332555,-0.638802,1.58211,-0.526565,1.15511,-0.304859,0.394953,-0.629213,1.3653,0.573714,1.04829,0.428054
-0.324408,-0.63292,1.58229,-0.518149,1.1594,-0.3076,0.388031,-0.622551,1.36039,0.566587,1.04856,0.432095
-0.316264,-0.62704,1.58246,-0.509733,1.1637,-0.310343,0.381109,-0.615893,1.35548,0.559463,1.04884,0.436137
-0.30813,-0.621168,1.58263,-0.501321,1.16799,-0.313092,0.3742,-0.609239,1.35058,0.55233,1.04911,0.440185
-0.300006,-0.615304,1.58281,-0.492918,1.17228,-0.315849,0.367306,-0.602587,1.34567,0.545185,1.04937,0.444241
-0.291886,-0.609443,1.583,-0.484522,1.17657,-0.318612,0.360423,-0.595934,1.34077,0.538026,1.04963,0.448304
-0.283765,-0.603581,1.5832,-0.476132,1.18086,-0.321375,0.353544,-0.589276,1.33585,0.530856,1.04988,0.45237
-0.275636,-0.597713,1.5834,-0.467745,1.18514,-0.324136,0.346663,-0.58261,1.33094,0.52368,1.05013,0.456434
-0.267498,-0.591839,1.58361,-0.459356,1.18943,-0.326892,0.339775,-0.575939,1.32602,0.516504,1.05038,0.460494
-0.259357,-0.585963,1.58381,-0.450964,1.19371,-0.329645,0.332881,-0.569267,1.32111,0.509334,1.05064,0.464552
-0.251222,-0.58009,1.58401,-0.442567,1.198,-0.332399,0.325985,-0.562604,1.31619,0.502175,1.0509,0.468608
-0.243102,-0.574229,1.58419,-0.434164,1.20229,-0.335158,0.319095,-0.555955,1.31129,0.49503,1.05116,0.472666
-0.235001,-0.568381,1.58435,-0.425757,1.20659,-0.337925,0.312212,-0.549323,1.30639,0.487897,1.05143,0.476728
-0.226917,-0.562544,1.58451,-0.417347,1.21088,-0.340699,0.305338,-0.542705,1.30151,0.480771,1.0517,0.480794
-0.218833,-0.556709,1.58466,-0.408939,1.21517,-0.343475,0.298466,-0.536086,1.29662,0.473642,1.05196,0.484862
-0.21073,-0.550859,1.58484,-0.400537,1.21947,-0.346242,0.291587,-0.529449,1.29172,0.466498,1.05222,0.488926
-0.202588,-0.544982,1.58504,-0.392144,1.22375,-0.348995,0.284691,-0.522778,1.2868,0.459331,1.05248,0.492983
-0.194399,-0.539072,1.58527,-0.38376,1.22803,-0.351728,0.277775,-0.516065,1.28186,0.452135,1.05273,0.497029
-0.186174,-0.533135,1.58553,-0.375384,1.23231,-0.354445,0.27084,-0.509321,1.27691,0.444919,1.05297,0.501067
-0.177944,-0.527196,1.58579,-0.367007,1.23659,-0.357161,0.263903,-0.502573,1.27196,0.437702,1.05322,0.505103
-0.169757,-0.521287,1.58602,-0.358621,1.24087,-0.359894,0.256985,-0.495863,1.26703,0.430512,1.05347,0.509149
-0.161658,-0.51544,1.58619,-0.350218,1.24517,-0.362663,0.250107,-0.48923,1.26213,0.423372,1.05373,0.513213
-0.153668,-0.509671,1.58629,-0.341792,1.24947,-0.365477,0.243279,-0.482693,1.25728,0.416296,1.05401,0.517302
-0.145769,-0.503966,1.58632,-0.333348,1.25378,-0.368329,0.236493,-0.476236,1.25247,0.409272,1.0543,0.521411
-0.137891,-0.498276,1.58634,-0.3249,1.2581,-0.37119,0.229718,-0.469797,1.24766,0.402259,1.0546,0.525524
-0.129924,-0.492524,1.58642,-0.31647,1.2624,-0.374014,0.222901,-0.46328,1.24282,0.395195,1.05488,0.529619
-0.121765,-0.486635,1.58663,-0.308079,1.26669,-0.376758,0.215997,-0.456594,1.2379,0.38802,1.05514,0.53367
-0.113354,-0.480566,1.58701,-0.299738,1.27095,-0.379399,0.208975,-0.449688,1.23287,0.380699,1.05536,0.537667
-0.104719,-0.474339,1.58755,-0.291442,1.27518,-0.381947,0.20185,-0.442585,1.22775,0.37325,1.05554,0.541613
-0.0960105,-0.468059,1.58814,-0.283161,1.27941,-0.384464,0.194691,-0.435418,1.22259,0.365758,1.05572,0.545543
-0.0874733,-0.461901,1.58861,-0.274845,1.28366,-0.387053,0.18761,-0.428401,1.21751,0.358365,1.05592,0.549511
-0.0793573,-0.456042,1.5888,-0.266445,1.28795,-0.389815,0.180725,-0.421753,1.21261,0.351215,1.05618,0.553573
-0.0718196,-0.450595,1.58858,-0.257929,1.2923,-0.392817,0.174107,-0.415612,1.20795,0.344398,1.05652,0.557762
-0.0648261,-0.445534,1.58799,-0.249306,1.2967,-0.396042,0.167742,-0.409948,1.20351,0.337896,1.05695,0.562071
-0.0580659,-0.44064,1.58724,-0.240635,1.30113,-0.399364,0.161485,-0.40449,1.19918,0.33153,1.0574,0.566432
-0.0509885,-0.435521,1.5867,-0.232028,1.30552,-0.402553,0.155084,-0.398755,1.19471,0.324985,1.05781,0.570722
-0.0429986,-0.429754,1.58679,-0.223603,1.30981,-0.405366,0.148261,-0.392221,1.18986,0.317915,1.05809,0.574811
-0.0336801,-0.42304,1.5878,-0.215443,1.31398,-0.407631,0.140818,-0.384519,1.18445,0.310071,1.05818,0.578606
-0.02302,-0.415366,1.58975,-0.20755,1.31804,-0.409351,0.132743,-0.37563,1.17847,0.301428,1.05807,0.582107
-0.0116175,-0.407151,1.59226,-0.199803,1.32205,-0.410782,0.124297,-0.366065,1.17217,0.292301,1.05787,0.585449
-0.000678971,-0.399246,1.59452,-0.19196,1.32616,-0.412428,0.11603,-0.356874,1.16604,0.283368,1.05774,0.5889
0.00832925,-0.392707,1.59547,-0.183732,1.33047,-0.414879,0.108647,-0.349364,1.16073,0.275524,1.05789,0.592781
0.0141123,-0.388504,1.59405,-0.174866,1.33501,-0.418609,0.102836,-0.344755,1.1568,0.269707,1.05848,0.597359
0.0159797,-0.387227,1.58947,-0.16524,1.33957,-0.423777,0.0991052,-0.34383,1.15464,0.266709,1.0596,0.602751
0.0142625,-0.388812,1.58139,-0.154943,1.3437,-0.430036,0.0976177,-0.346595,1.15427,0.267005,1.06111,0.608822
0.0104382,-0.392432,1.57007,-0.14431,1.34666,-0.436479,0.0981185,-0.352146,1.15526,0.270643,1.06272,0.615168
0.00666176,-0.396752,1.55629,-0.133835,1.34761,-0.441885,0.100045,-0.358945,1.15692,0.277274,1.06398,0.621266
0.00510783,-0.400304,1.54117,-0.124052,1.34587,-0.445055,0.102692,-0.365217,1.15851,0.28623,1.0644,0.62667
0.00730873,-0.401849,1.52596,-0.115417,1.34108,-0.445153,0.105385,-0.369365,1.15942,0.296604,1.06356,0.631217
0.0135042,-0.400753,1.51195,-0.108183,1.33352,-0.44203,0.107644,-0.37037,1.15944,0.307324,1.06114,0.635215
0.0223096,-0.397203,1.50025,-0.102331,1.32413,-0.436411,0.109284,-0.368046,1.15886,0.317246,1.05706,0.639522
0.0312111,-0.392051,1.49168,-0.0975995,1.31435,-0.429667,0.110349,-0.362915,1.15829,0.325286,1.05143,0.64528
0.0373917,-0.386509,1.48672,-0.0935673,1.30567,-0.423429,0.110974,-0.35593,1.15849,0.330559,1.04456,0.65353
0.0385723,-0.381838,1.48532,-0.0897344,1.29933,-0.419204,0.111242,-0.348191,1.16008,0.332522,1.03695,0.664811
0.033844,-0.379031,1.48689,-0.0856028,1.29594,-0.417976,0.111053,-0.340665,1.1633,0.33112,1.02928,0.678777
0.0242134,-0.378583,1.49022,-0.0807474,1.29519,-0.419936,0.110035,-0.333963,1.16789,0.326856,1.02233,0.693964
0.0121921,-0.380489,1.49372,-0.0748486,1.29607,-0.424551,0.107659,-0.328328,1.17313,0.320651,1.01688,0.708129
0.000899466,-0.384379,1.4958,-0.0677069,1.29721,-0.430825,0.103439,-0.323732,1.17815,0.313588,1.01359,0.71886
-0.00686352,-0.38965,1.49521,-0.0592559,1.29727,-0.437565,0.0971468,-0.319968,1.18216,0.30665,1.01278,0.724206
-0.00953612,-0.395608,1.49141,-0.0495755,1.29535,-0.44365,0.0890178,-0.316754,1.18468,0.300459,1.0143,0.723312
-0.00749571,-0.401585,1.48486,-0.0388964,1.29126,-0.448254,0.0798931,-0.313819,1.18576,0.295077,1.01741,0.716874
-0.00279823,-0.407012,1.4768,-0.0275704,1.28551,-0.450885,0.0710584,-0.310948,1.18591,0.290067,1.02096,0.706915
0.00169955,-0.411444,1.46883,-0.0160166,1.279,-0.45129,0.0638916,-0.308004,1.18583,0.284721,1.02366,0.696098
0.00326718,-0.414592,1.46243,-0.0046673,1.27279,-0.449373,0.0594941,-0.304936,1.18619,0.278306,1.02439,0.687009
0.000226288,-0.416349,1.45847,0.00608738,1.26776,-0.445086,0.0583231,-0.301798,1.18734,0.270305,1.02256,0.681437
-0.00728092,-0.416808,1.45681,0.0159497,1.26438,-0.438364,0.0598975,-0.298757,1.18913,0.260623,1.01832,0.679776
-0.0173961,-0.416241,1.45639,0.0247407,1.26269,-0.429157,0.0629102,-0.29604,1.19095,0.249599,1.01254,0.681073
-0.0273599,-0.415035,1.45566,0.0324078,1.26242,-0.417561,0.0656728,-0.293846,1.19199,0.237847,1.00646,0.6836
-0.0344044,-0.413631,1.45303,0.0390288,1.26312,-0.403949,0.0665958,-0.292251,1.19157,0.226087,1.00131,0.685497
-0.0366452,-0.412459,1.44741,0.0448176,1.26433,-0.389116,0.0646689,-0.29111,1.18937,0.214974,0.998016,0.685398
-0.0338723,-0.411875,1.43858,0.0501238,1.2657,-0.374381,0.0598857,-0.289981,1.18571,0.20494,0.996835,0.683003
-0.0275963,-0.412127,1.42726,0.0553978,1.26706,-0.361449,0.0532621,-0.288198,1.18153,0.196149,0.997346,0.67914
-0.0203333,-0.413342,1.41478,0.0611192,1.26836,-0.352035,0.0464386,-0.28508,1.17807,0.188569,0.998716,0.675329
-0.0147788,-0.41552,1.40261,0.0677206,1.26963,-0.347445,0.0412218,-0.280174,1.17649,0.182054,1.00001,0.67326
-0.0129808,-0.418521,1.39204,0.0755111,1.27091,-0.348162,0.0391257,-0.273489,1.17755,0.176431,1.00052,0.674281
-0.015571,-0.422066,1.3837,0.0846042,1.27223,-0.353469,0.0409409,-0.265711,1.18125,0.171581,1.00001,0.678913
-0.0215665,-0.425747,1.37754,0.0948914,1.27355,-0.361476,0.0465741,-0.258158,1.18679,0.167469,0.998823,0.686713
-0.028906,-0.429076,1.37297,0.106074,1.27482,-0.369665,0.0552377,-0.252413,1.1928,0.164101,0.997663,0.696583
-0.035127,-0.431527,1.36914,0.117707,1.276,-0.375537,0.0657055,-0.249891,1.19777,0.161473,0.997289,0.707162
-0.038044,-0.432593,1.36526,0.129241,1.27712,-0.377257,0.0765698,-0.251409,1.20031,0.159519,0.998264,0.717219
-0.0364006,-0.431831,1.36084,0.140069,1.27825,-0.374268,0.0864922,-0.256773,1.19955,0.158059,1.00068,0.726031
-0.0301702,-0.428916,1.3558,0.149593,1.27958,-0.36749,0.0943839,-0.264682,1.19526,0.156787,1.00409,0.733533
-0.0202849,-0.423711,1.35043,0.157328,1.28129,-0.358842,0.099469,-0.273136,1.18778,0.155308,1.00768,0.740104
-0.00822119,-0.41633,1.3452,0.163016,1.28351,-0.350601,0.10132,-0.27997,1.17785,0.153196,1.01056,0.746261
0.00441503,-0.407205,1.34064,0.166741,1.28625,-0.344745,0.0998893,-0.283384,1.16644,0.150048,1.01206,0.752355
0.0162969,-0.397151,1.33718,0.169036,1.2893,-0.34233,0.0955458,-0.282472,1.1546,0.145536,1.01194,0.758271
0.0266393,-0.387327,1.33507,0.170881,1.29225,-0.343156,0.089047,-0.27748,1.1433,0.139457,1.01055,0.763308
0.0351621,-0.379003,1.33434,0.173483,1.29455,-0.346061,0.0814083,-0.269544,1.13336,0.131745,1.00861,0.766421
0.0419586,-0.373253,1.33478,0.177979,1.29566,-0.349417,0.073733,-0.260249,1.12542,0.122489,1.00694,0.766583
0.0473605,-0.370657,1.33596,0.18514,1.29519,-0.351628,0.0670423,-0.251193,1.11979,0.111942,1.00613,0.763143
0.0518046,-0.371002,1.3372,0.195079,1.29303,-0.351623,0.0621071,-0.243551,1.11648,0.100534,1.00626,0.756183
0.0557168,-0.373163,1.33766,0.207099,1.28939,-0.349177,0.0593319,-0.23779,1.11512,0.0888458,1.00675,0.746714
0.0594447,-0.375444,1.33643,0.219891,1.2848,-0.344787,0.0587736,-0.23378,1.11509,0.0774937,1.00656,0.736442
0.0632092,-0.376107,1.33282,0.231879,1.27996,-0.33936,0.0602161,-0.231067,1.11561,0.066972,1.00458,0.727362
0.0670573,-0.373908,1.32647,0.24158,1.27561,-0.3339,0.0632467,-0.229148,1.11592,0.057498,0.999972,0.721349
0.0708153,-0.368631,1.31765,0.247947,1.27246,-0.329194,0.0673329,-0.227751,1.11539,0.0488566,0.992565,0.719744
0.0740764,-0.361408,1.30729,0.250626,1.27104,-0.32558,0.0718974,-0.227019,1.11363,0.0403294,0.983059,0.723045
0.0763035,-0.35435,1.2968,0.2499,1.27165,-0.322974,0.0763897,-0.227418,1.11055,0.0309006,0.972838,0.730914
0.0769905,-0.349817,1.28767,0.246457,1.27432,-0.321046,0.0803556,-0.22948,1.10629,0.0196073,0.963527,0.742358
0.0758277,-0.349663,1.28107,0.241161,1.27878,-0.319397,0.0835061,-0.233554,1.10126,0.00589793,0.956545,0.75591
0.0728659,-0.354489,1.27742,0.234817,1.28437,-0.317737,0.0857865,-0.239547,1.09609,-0.0100112,0.952656,0.769819
0.0686266,-0.363103,1.27614,0.227986,1.2901,-0.316023,0.0874232,-0.24674,1.09158,-0.0269009,0.951633,0.782251
0.0639783,-0.372879,1.2758,0.220992,1.29474,-0.314447,0.0888745,-0.253912,1.08861,-0.0428363,0.952403,0.79156
0.0598606,-0.380701,1.27459,0.214063,1.29713,-0.313314,0.0907188,-0.259674,1.08789,-0.0557963,0.953511,0.796598
0.0569957,-0.383956,1.27082,0.207485,1.29641,-0.312918,0.0935387,-0.262807,1.08981,-0.0643302,0.953598,0.797033
0.0556005,-0.381528,1.26341,0.201749,1.29232,-0.313407,0.0978036,-0.262605,1.09418,-0.0682125,0.951893,0.793662
0.055169,-0.374578,1.2523,0.197655,1.28537,-0.314684,0.103763,-0.259164,1.10013,-0.0689409,0.948597,0.788613
0.0546465,-0.366181,1.23843,0.196163,1.27675,-0.316423,0.111388,-0.25331,1.10625,-0.0693477,0.944771,0.784878
0.0529273,-0.360006,1.22329,0.198025,1.26789,-0.318184,0.120358,-0.246249,1.11093,-0.072484,0.941777,0.785309
0.0493879,-0.358895,1.20849,0.203404,1.26004,-0.319545,0.130045,-0.239187,1.11285,-0.0804224,0.940694,0.791554
0.0443763,-0.363543,1.19531,0.211519,1.25387,-0.320222,0.139518,-0.232967,1.11127,-0.0931517,0.941761,0.803077
0.0392559,-0.372188,1.18445,0.220682,1.24931,-0.320124,0.147647,-0.227914,1.10625,-0.108406,0.94424,0.817097
0.0358497,-0.38167,1.17615,0.228832,1.24581,-0.319307,0.153359,-0.223955,1.09838,-0.122751,0.946847,0.829739
0.0357662,-0.388762,1.17024,0.234188,1.24268,-0.317919,0.155917,-0.220802,1.0885,-0.132918,0.948288,0.837441
0.0397379,-0.391475,1.16629,0.235872,1.23935,-0.316133,0.155202,-0.218124,1.07744,-0.137114,0.947789,0.838318
0.0472789,-0.389802,1.16371,0.234236,1.23562,-0.314107,0.151817,-0.215676,1.06579,-0.13574,0.945394,0.832906
0.057042,-0.385228,1.16187,0.230505,1.23157,-0.311967,0.146836,-0.213311,1.05392,-0.130796,0.941758,0.823487
0.0674159,-0.379815,1.16021,0.226191,1.2274,-0.309805,0.141434,-0.210953,1.04203,-0.124846,0.937767,0.812946
0.0771277,-0.375283,1.15833,0.222505,1.22334,-0.307673,0.136501,-0.208577,1.03019,-0.11997,0.934151,0.803608
0.0857037,-0.372288,1.15611,0.219899,1.21948,-0.305588,0.132361,-0.206177,1.01842,-0.11695,0.931189,0.796345
0.0934106,-0.370473,1.15364,0.218117,1.21576,-0.303538,0.128825,-0.203763,1.00669,-0.115354,0.928728,0.790673
0.100901,-0.368954,1.15111,0.216539,1.21208,-0.301496,0.125438,-0.201347,0.994969,-0.114114,0.926393,0.785397
0.10884,-0.366827,1.14871,0.214531,1.20833,-0.299435,0.121737,-0.19894,0.983225,-0.112143,0.923801,0.7793
0.117566,-0.363631,1.14656,0.211774,1.20444,-0.297341,0.117486,-0.196549,0.971437,-0.108881,0.920754,0.771761
0.127014,-0.35946,1.14461,0.208336,1.20043,-0.295219,0.112733,-0.19417,0.959608,-0.104439,0.917291,0.762905
0.136862,-0.354755,1.14277,0.204528,1.19635,-0.29308,0.107704,-0.191798,0.947753,-0.0993456,0.9136,0.753326
0.146712,-0.350056,1.14093,0.20073,1.19226,-0.290941,0.102676,-0.189423,0.935893,-0.0942492,0.90991,0.743752
0.15627,-0.34576,1.139,0.197217,1.18821,-0.288814,0.097853,-0.187043,0.924046,-0.0896336,0.906389,0.734719
0.16543,-0.342,1.13695,0.194078,1.18424,-0.286703,0.0933059,-0.184655,0.912222,-0.0856666,0.903096,0.726409
0.174248,-0.338691,1.1348,0.191248,1.18033,-0.284606,0.0889946,-0.182264,0.900424,-0.0822587,0.899999,0.718714
0.182867,-0.335629,1.13262,0.18858,1.17647,-0.282517,0.0848156,-0.179872,0.888648,-0.0791696,0.897011,0.71136
0.191463,-0.332577,1.13045,0.185906,1.17263,-0.28043,0.0806476,-0.177483,0.876885,-0.0761151,0.894034,0.704028
0.200172,-0.329356,1.12833,0.183107,1.16878,-0.278337,0.0763971,-0.175099,0.865124,-0.0728715,0.890988,0.696476
